,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
1,10,300,100,10,2,75,57.199999999999996,59.22500000000001,0.2627865197143844
2,10,1000,100,10,2,75,61.1,64.0,0.24879442072507327
3,50,300,100,10,2,75,52.5,71.15,0.19312178959189102
4,50,1000,100,10,2,75,56.900000000000006,71.125,0.1972513777371619
5,10,300,100,10,2,100,57.00000000000001,63.525,0.23455398572215858
6,10,1000,100,10,2,100,57.699999999999996,64.85000000000001,0.2497164594351836
7,50,300,100,10,2,100,52.5,67.19999999999999,0.18671725178451395
8,50,1000,100,10,2,100,55.7,69.75,0.18743281504682135
9,10,300,100,10,4,75,44.5,53.425,0.26191874577893287
10,10,1000,100,10,4,75,52.1,58.25,0.2482743217878775
11,50,300,100,10,4,75,46.8,62.75000000000001,0.2053911166844074
12,50,1000,100,10,4,75,48.9,66.725,0.20632486706489103
13,10,300,100,10,4,100,45.599999999999994,54.85,0.23269445667703423
14,10,1000,100,10,4,100,53.300000000000004,60.8,0.22589245018561246
15,50,300,100,10,4,100,50.3,66.775,0.19790082744908394
16,50,1000,100,10,4,100,52.2,70.42500000000001,0.17900449414873768
17,10,300,100,10,5,75,51.0,55.85,0.2520303341655488
18,10,1000,100,10,5,75,56.8,56.025000000000006,0.2588880819407361
19,50,300,100,10,5,75,53.2,67.45,0.1818773094895758
20,50,1000,100,10,5,75,56.39999999999999,68.5,0.19669880647030666
21,10,300,100,10,5,100,52.300000000000004,51.9,0.25011082918933997
22,10,1000,100,10,5,100,57.99999999999999,56.65,0.2490820564765995
23,50,300,100,10,5,100,50.9,64.67500000000001,0.18501406805058324
24,50,1000,100,10,5,100,56.10000000000001,65.85,0.1876869776958259
25,10,300,100,10,8,75,45.49999999999999,55.45,0.23390898177241434
26,10,1000,100,10,8,75,49.2,55.574999999999996,0.26585522090568053
27,50,300,100,10,8,75,43.89999999999999,66.475,0.19122608224779578
28,50,1000,100,10,8,75,48.5,67.925,0.20364197479625823
29,10,300,100,10,8,100,44.3,53.725,0.23796744362549718
30,10,1000,100,10,8,100,49.5,59.550000000000004,0.23580973666029248
31,50,300,100,10,8,100,43.3,68.60000000000001,0.17721780423246827
32,50,1000,100,10,8,100,46.4,69.10000000000001,0.19386124691697565
33,10,300,100,10,10,75,47.400000000000006,55.47500000000001,0.2365495544629081
34,10,1000,100,10,10,75,53.099999999999994,60.3,0.21840166719319865
35,50,300,100,10,10,75,46.6,65.025,0.19178379963961478
36,50,1000,100,10,10,75,51.5,66.60000000000001,0.18698094086666628
