,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
1,10,300,100,10,1,50,95.1,95.375,0.005329646584572827
2,10,500,100,10,1,50,94.80000000000001,98.275,0.0036458084108339575
3,10,1000,100,10,1,50,94.10000000000001,95.67500000000001,0.004214989396565421
4,30,300,100,10,1,50,86.6,96.7,0.004565789214045425
5,30,500,100,10,1,50,94.0,97.85000000000001,0.0027535840232434656
6,30,1000,100,10,1,50,94.0,97.85000000000001,0.002699891180910589
7,50,300,100,10,1,50,65.10000000000001,91.7,0.018538607812098633
8,50,500,100,10,1,50,71.10000000000001,90.15,0.026999737672948523
9,50,1000,100,10,1,50,70.89999999999999,90.025,0.027077000968261333
10,10,300,100,10,1,75,95.3,95.325,0.004005743054918299
11,10,500,100,10,1,75,95.39999999999999,96.25,0.004049268454856027
12,10,1000,100,10,1,75,95.60000000000001,95.15,0.004616906418696989
13,30,300,100,10,1,75,92.8,97.35,0.003073700693906429
14,30,500,100,10,1,75,93.69999999999999,97.625,0.0027139380346985565
15,30,1000,100,10,1,75,93.69999999999999,97.75,0.0026932554367535074
16,50,300,100,10,1,75,66.9,93.85,0.015175443570099548
17,50,500,100,10,1,75,71.6,89.14999999999999,0.030446386776454087
18,50,1000,100,10,1,75,69.5,81.62499999999999,0.049596523467975634
19,10,300,100,10,1,100,95.5,97.24999999999999,0.004373236694466768
20,10,500,100,10,1,100,95.89999999999999,96.82499999999999,0.004248014678051404
21,10,1000,100,10,1,100,95.5,94.75,0.004876591521310544
22,30,300,100,10,1,100,92.6,97.65,0.003163340216026528
23,30,500,100,10,1,100,93.39999999999999,97.6,0.0028460905318310166
24,30,1000,100,10,1,100,94.0,97.775,0.002782624472354261
25,50,300,100,10,1,100,59.3,89.625,0.025561624300356644
26,50,500,100,10,1,100,68.39999999999999,82.425,0.04629822510408279
27,50,1000,100,10,1,100,68.30000000000001,82.5,0.0463810883915243
28,10,300,100,20,1,50,96.50000000000001,93.24999999999999,0.005307949832415044
29,10,500,100,20,1,50,95.89999999999999,94.97500000000001,0.005147771152909296
30,10,1000,100,20,1,50,95.39999999999999,95.0,0.00465923629827341
31,30,300,100,20,1,50,93.2,97.55,0.0027659163724879474
32,30,500,100,20,1,50,94.19999999999999,97.89999999999999,0.0026612781986411196
33,30,1000,100,20,1,50,93.30000000000001,97.75,0.002760650738612278
34,50,300,100,20,1,50,80.80000000000001,95.975,0.006193903533604393
35,50,500,100,20,1,50,71.0,89.725,0.02554975689838393
36,50,1000,100,20,1,50,87.89999999999999,96.47500000000001,0.0036563923420973015
37,10,300,100,20,1,75,96.30000000000001,99.0,0.0036510040780919524
38,10,500,100,20,1,75,96.0,99.25,0.0034156537499596645
39,10,1000,100,20,1,75,95.8,98.80000000000001,0.0024461280138077138
40,30,300,100,20,1,75,91.60000000000001,97.24999999999999,0.003273170818934623
41,30,500,100,20,1,75,94.3,97.575,0.0027287914316052255
42,30,1000,100,20,1,75,94.9,97.775,0.002649444121917412
43,50,300,100,20,1,75,83.3,96.275,0.004707808845464486
44,50,500,100,20,1,75,88.00000000000001,96.30000000000001,0.004030725891017212
45,50,1000,100,20,1,75,88.2,96.2,0.004018296021902453
46,10,300,100,20,1,100,94.80000000000001,88.97500000000001,0.007594931232414036
47,10,500,100,20,1,100,94.9,95.55,0.004417053050818028
48,10,1000,100,20,1,100,95.5,96.37499999999999,0.004078044725267489
49,30,300,100,20,1,100,93.39999999999999,97.37500000000001,0.0028819358505158214
50,30,500,100,20,1,100,94.3,97.44999999999999,0.0027302060126128697
51,30,1000,100,20,1,100,94.19999999999999,97.575,0.0026948052346823497
52,50,300,100,20,1,100,87.89999999999999,95.89999999999999,0.004115082855521467
53,50,500,100,20,1,100,87.79999999999998,96.30000000000001,0.00377332687652681
54,50,1000,100,20,1,100,72.8,90.97500000000001,0.02369841977246659
55,10,300,100,30,1,50,94.7,89.625,0.007225805712925522
56,10,500,100,30,1,50,95.7,98.07499999999999,0.003259868336824291
57,10,1000,100,30,1,50,94.5,94.7,0.004567512186556782
58,30,300,100,30,1,50,92.69999999999999,97.575,0.002867867362161966
59,30,500,100,30,1,50,94.60000000000001,97.875,0.002646871965126928
60,30,1000,100,30,1,50,94.3,97.875,0.002665064399071562
61,50,300,100,30,1,50,80.60000000000001,94.97500000000001,0.005523925383254481
62,50,500,100,30,1,50,89.39999999999999,96.50000000000001,0.0037064995603618258
63,50,1000,100,30,1,50,88.00000000000001,96.55,0.00368348944137185
64,10,300,100,30,1,75,95.19999999999999,91.325,0.005898701060625062
65,10,500,100,30,1,75,94.3,95.02499999999999,0.005361193332338425
66,10,1000,100,30,1,75,95.39999999999999,97.975,0.003209241974023783
67,30,300,100,30,1,75,93.10000000000001,97.5,0.002735256590900954
68,30,500,100,30,1,75,93.69999999999999,97.825,0.0026421774254835684
69,30,1000,100,30,1,75,94.19999999999999,97.72500000000001,0.002703332158184064
70,50,300,100,30,1,75,73.8,94.825,0.009350022778527237
71,50,500,100,30,1,75,86.30000000000001,96.47500000000001,0.0036213873281572334
72,50,1000,100,30,1,75,87.89999999999999,96.44999999999999,0.003656587434229427
73,10,300,100,30,1,100,94.39999999999999,83.92500000000001,0.0076771468885135944
74,10,500,100,30,1,100,95.60000000000001,99.325,0.002828868716200983
75,10,1000,100,30,1,100,94.5,95.42500000000001,0.004436591037650535
76,30,300,100,30,1,100,91.5,97.24999999999999,0.0029288402134604844
77,30,500,100,30,1,100,93.30000000000001,97.65,0.002658420599282411
78,30,1000,100,30,1,100,94.3,97.575,0.0026926586738023344
79,50,300,100,30,1,100,90.5,96.15,0.0032165867491905113
80,50,500,100,30,1,100,88.4,96.30000000000001,0.0036847388968170997
81,50,1000,100,30,1,100,87.3,96.25,0.0037397757654687265
82,10,300,100,40,1,50,94.80000000000001,95.125,0.0047868337364122705
83,10,500,100,40,1,50,95.1,95.775,0.004989381310706716
84,10,1000,100,40,1,50,94.5,94.14999999999999,0.005250556261727812
85,30,300,100,40,1,50,91.5,97.6,0.0028484640899704206
86,30,500,100,40,1,50,95.1,97.72500000000001,0.0026872068646125215
87,30,1000,100,40,1,50,93.80000000000001,97.675,0.002726662360072858
88,50,300,100,40,1,50,91.4,96.15,0.003250676437338892
89,50,500,100,40,1,50,71.3,89.25,0.02446180582599347
90,50,1000,100,40,1,50,89.0,96.37499999999999,0.003613653203729948
91,10,300,100,40,1,75,95.19999999999999,95.39999999999999,0.0035263161757484248
92,10,500,100,40,1,75,94.9,95.525,0.004992988303557845
93,10,1000,100,40,1,75,95.0,97.24999999999999,0.0034196756579600333
94,30,300,100,40,1,75,90.10000000000001,96.64999999999999,0.003447609468096114
95,30,500,100,40,1,75,94.39999999999999,97.825,0.0027157725802594832
96,30,1000,100,40,1,75,94.5,97.85000000000001,0.002716520007257045
97,50,300,100,40,1,75,56.2,86.47500000000001,0.024093336124282373
98,50,500,100,40,1,75,71.2,89.875,0.023459674865222213
99,50,1000,100,40,1,75,88.4,96.55,0.003596451019387981
100,10,300,100,40,1,100,95.19999999999999,98.5,0.004570872144984961
101,10,500,100,40,1,100,95.5,97.72500000000001,0.003664399023673159
102,10,1000,100,40,1,100,94.3,94.80000000000001,0.005018423096548684
