,perplexity,n_iter,n_samples,n_features,n_classes,p_informative,avg_common_neighbors10,avg_common_neighbors40,std_ratios
1,10,300,100,10,1,50,48.2,53.825,0.26183193848978176
2,10,500,100,10,1,50,53.6,63.625,0.25975556894311136
3,10,1000,100,10,1,50,55.099999999999994,64.05000000000001,0.2551832978362977
4,30,300,100,10,1,50,51.4,68.55,0.2021045348849644
5,30,500,100,10,1,50,55.199999999999996,69.5,0.19476271532065023
6,30,1000,100,10,1,50,55.099999999999994,69.6,0.19451998638662107
7,50,300,100,10,1,50,50.9,72.5,0.1813117033497228
8,50,500,100,10,1,50,52.69999999999999,72.7,0.1884112448549786
9,50,1000,100,10,1,50,52.6,72.8,0.18802339227757767
10,10,300,100,10,1,75,50.8,53.89999999999999,0.2828840249290132
11,10,500,100,10,1,75,54.2,57.35,0.2685470893042425
12,10,1000,100,10,1,75,56.2,58.074999999999996,0.2712522977173457
13,30,300,100,10,1,75,53.89999999999999,63.150000000000006,0.21217765299854546
14,30,500,100,10,1,75,60.5,66.55,0.23053331803757646
15,30,1000,100,10,1,75,60.6,66.7,0.23046592092509677
16,50,300,100,10,1,75,50.4,65.14999999999999,0.20358877589741897
17,50,500,100,10,1,75,52.900000000000006,68.27499999999999,0.19139638994083244
18,50,1000,100,10,1,75,52.900000000000006,68.22500000000001,0.19128444060643593
19,10,300,100,10,1,100,59.5,70.125,0.24254020561993367
20,10,500,100,10,1,100,60.9,71.10000000000001,0.24579917831066497
21,10,1000,100,10,1,100,61.0,70.975,0.24909108389876614
22,30,300,100,10,1,100,59.00000000000001,73.225,0.20589129449763444
23,30,500,100,10,1,100,63.0,75.225,0.2230607006966235
24,30,1000,100,10,1,100,62.8,75.35000000000001,0.22416008877758123
25,50,300,100,10,1,100,59.199999999999996,76.525,0.19376643499064922
26,50,500,100,10,1,100,61.4,78.125,0.19357454757076753
27,50,1000,100,10,1,100,61.6,78.15,0.19374022720172895
28,10,300,100,20,1,50,42.199999999999996,52.15,0.16162587797563166
29,10,500,100,20,1,50,45.7,55.025,0.16949190191330912
30,10,1000,100,20,1,50,46.0,56.3,0.16370874024766124
31,30,300,100,20,1,50,45.7,56.55,0.16657545934344825
32,30,500,100,20,1,50,49.400000000000006,63.575,0.15237918053090604
33,30,1000,100,20,1,50,48.4,64.375,0.1521824322736874
34,50,300,100,20,1,50,42.699999999999996,65.10000000000001,0.14382956377893127
35,50,500,100,20,1,50,46.699999999999996,67.0,0.13824320955831088
36,50,1000,100,20,1,50,45.49999999999999,67.07499999999999,0.13916616930933406
37,10,300,100,20,1,75,46.3,52.449999999999996,0.1814332987364554
38,10,500,100,20,1,75,50.2,55.275,0.16471609780929555
39,10,1000,100,20,1,75,52.900000000000006,56.85,0.17574324801766386
40,30,300,100,20,1,75,46.4,60.62499999999999,0.1447363777021149
41,30,500,100,20,1,75,52.300000000000004,60.54999999999999,0.15260831284034357
42,30,1000,100,20,1,75,52.300000000000004,63.575,0.14987775139903098
43,50,300,100,20,1,75,44.800000000000004,65.4,0.1275538569810481
44,50,500,100,20,1,75,48.2,67.325,0.13505989044960745
45,50,1000,100,20,1,75,48.1,67.525,0.1396228291274777
46,10,300,100,20,1,100,47.0,54.525,0.13976368410703252
47,10,500,100,20,1,100,48.1,56.974999999999994,0.1771270419800573
48,10,1000,100,20,1,100,50.6,56.074999999999996,0.16276407228600184
49,30,300,100,20,1,100,49.2,57.800000000000004,0.14120071405963044
50,30,500,100,20,1,100,52.0,63.125,0.15057051721414044
51,30,1000,100,20,1,100,53.099999999999994,61.1,0.14491845955735574
52,50,300,100,20,1,100,47.199999999999996,65.10000000000001,0.12960533904214816
53,50,500,100,20,1,100,50.5,64.05000000000001,0.13322464350824667
54,50,1000,100,20,1,100,50.3,67.325,0.1306199966012596
55,10,300,100,30,1,50,39.800000000000004,50.575,0.12459943456699592
56,10,500,100,30,1,50,43.89999999999999,53.300000000000004,0.13887492097602153
57,10,1000,100,30,1,50,43.4,53.400000000000006,0.1353025379564428
58,30,300,100,30,1,50,39.300000000000004,57.574999999999996,0.12564496466047576
59,30,500,100,30,1,50,47.300000000000004,61.12499999999999,0.12424207764057411
60,30,1000,100,30,1,50,45.300000000000004,60.0,0.11987788947269173
61,50,300,100,30,1,50,37.7,63.550000000000004,0.1148592379030812
62,50,500,100,30,1,50,39.4,64.0,0.11925421910050904
63,50,1000,100,30,1,50,42.199999999999996,64.0,0.11741148617228497
64,10,300,100,30,1,75,38.3,50.55,0.13388355893377382
65,10,500,100,30,1,75,44.699999999999996,56.2,0.12849168674734462
66,10,1000,100,30,1,75,44.2,54.6,0.13620478660043564
67,30,300,100,30,1,75,45.300000000000004,58.724999999999994,0.12515849524333858
68,30,500,100,30,1,75,47.599999999999994,59.25,0.12407568343741578
69,30,1000,100,30,1,75,50.9,61.199999999999996,0.12639151141232224
70,50,300,100,30,1,75,37.2,60.62499999999999,0.11380783187479081
71,50,500,100,30,1,75,46.4,64.775,0.1223964406338897
72,50,1000,100,30,1,75,46.900000000000006,64.60000000000001,0.11593832371442574
73,10,300,100,30,1,100,49.3,52.725,0.12547788057541023
74,10,500,100,30,1,100,51.300000000000004,54.75,0.14305103390703364
75,10,1000,100,30,1,100,53.099999999999994,54.825,0.15464723035764444
76,30,300,100,30,1,100,50.2,55.99999999999999,0.12758163389129967
77,30,500,100,30,1,100,54.2,60.925000000000004,0.126082026845428
78,30,1000,100,30,1,100,54.400000000000006,59.74999999999999,0.12567760736958908
79,50,300,100,30,1,100,47.9,63.175000000000004,0.11348620206404501
80,50,500,100,30,1,100,52.5,65.3,0.11263129270120933
81,50,1000,100,30,1,100,50.7,62.9,0.11410146780307895
82,10,300,100,40,1,50,36.4,50.824999999999996,0.10831563655287586
83,10,500,100,40,1,50,42.400000000000006,53.449999999999996,0.11000242721393344
84,10,1000,100,40,1,50,43.0,53.65,0.11302279398541747
85,30,300,100,40,1,50,35.099999999999994,53.0,0.1018208324807387
86,30,500,100,40,1,50,43.7,60.099999999999994,0.1065455418674287
87,30,1000,100,40,1,50,44.400000000000006,60.575,0.10391304569432347
88,50,300,100,40,1,50,35.5,57.25,0.10334674475522182
89,50,500,100,40,1,50,40.300000000000004,62.92500000000001,0.096146618045467
90,50,1000,100,40,1,50,41.6,62.975,0.10078088675588477
91,10,300,100,40,1,75,38.9,50.975,0.11071531170687055
92,10,500,100,40,1,75,42.800000000000004,53.300000000000004,0.11972163639886164
93,10,1000,100,40,1,75,45.199999999999996,53.974999999999994,0.11074479861894121
94,30,300,100,40,1,75,31.2,50.875,0.126985994173547
95,30,500,100,40,1,75,46.1,59.650000000000006,0.11000746999477345
96,30,1000,100,40,1,75,45.800000000000004,61.3,0.10536079019422896
97,50,300,100,40,1,75,37.0,56.35,0.10591388514883811
98,50,500,100,40,1,75,43.4,64.325,0.1013229857716963
99,50,1000,100,40,1,75,44.5,64.35,0.10128941661229385
100,10,300,100,40,1,100,39.0,53.89999999999999,0.11303553683334498
101,10,500,100,40,1,100,44.00000000000001,55.225,0.11394564014661633
