,perplexity,n_iter,n_samples,n_features,avg_common_neighbors10,avg_common_neighbors40,std_ratios
1,10,300,100,10,95.39999999999999,88.02499999999999,0.006344162213284954
2,10,500,100,10,94.80000000000001,96.30000000000001,0.004252426842510544
3,10,1000,100,10,94.0,95.8,0.0044140266400813696
4,30,300,100,10,91.8,97.37500000000001,0.00303014829311075
5,30,500,100,10,93.6,97.7,0.0026927305667322405
6,30,1000,100,10,93.80000000000001,97.65,0.002726032296507689
7,50,300,100,10,75.5,94.075,0.00875506641543871
8,50,500,100,10,74.4,93.22500000000001,0.015452516961093942
9,50,1000,100,10,71.8,90.3,0.02533891213860921
10,10,300,100,20,95.3,98.925,0.002805331108419946
11,10,500,100,20,95.89999999999999,99.3,0.0031082112620601367
12,10,1000,100,20,96.30000000000001,99.175,0.002260741543232978
13,30,300,100,20,92.8,97.15,0.00274967091475795
14,30,500,100,20,94.10000000000001,97.675,0.0026977294531345688
15,30,1000,100,20,93.80000000000001,97.5,0.002720361330767477
16,50,300,100,20,79.60000000000001,95.275,0.005242008161077678
17,50,500,100,20,88.3,96.325,0.003520431465410238
18,50,1000,100,20,75.2,94.35,0.009517260336308822
19,10,300,100,30,95.7,96.275,0.005562544968586571
20,10,500,100,30,95.1,97.39999999999999,0.0039058411965239817
21,10,1000,100,30,95.5,99.3,0.0024933054583208586
22,30,300,100,30,93.5,97.6,0.0026952532358829615
23,30,500,100,30,95.5,97.625,0.002786022146801317
24,30,1000,100,30,94.39999999999999,97.775,0.00276237540782048
25,50,300,100,30,64.3,91.4,0.017353306039108316
26,50,500,100,30,88.3,96.30000000000001,0.003424748395731378
27,50,1000,100,30,87.3,96.25,0.0034190057099919777
28,10,300,100,40,96.0,95.925,0.004447111376052152
29,10,500,100,40,94.80000000000001,95.975,0.004714837763100679
30,10,1000,100,40,96.1,99.14999999999999,0.00225791116596992
31,30,300,100,40,92.5,97.425,0.002734290499627794
32,30,500,100,40,94.7,97.8,0.0028475436938236007
33,30,1000,100,40,94.39999999999999,97.6,0.002836133032526739
34,50,300,100,40,77.9,95.42500000000001,0.004774106515835964
35,50,500,100,40,88.00000000000001,96.2,0.003412806037330114
36,50,1000,100,40,73.1,91.8,0.012702143932496624
37,10,300,100,50,96.0,91.47500000000001,0.004449819443701204
38,10,500,100,50,97.0,99.125,0.002865434579729327
39,10,1000,100,50,94.60000000000001,95.275,0.004288454082475013
40,30,300,100,50,92.10000000000001,97.22500000000001,0.002773775571974386
41,30,500,100,50,93.69999999999999,97.44999999999999,0.002904221374474659
42,30,1000,100,50,94.19999999999999,97.675,0.0028995381815819605
43,50,300,100,50,83.2,95.25,0.00370549633566258
44,50,500,100,50,86.9,96.175,0.003337536832502026
45,50,1000,100,50,87.4,96.02499999999999,0.003378432976557761
46,10,300,250,10,95.12,96.63000000000001,0.0033427113644948353
47,10,500,250,10,95.07999999999998,98.93,0.0027953727171906987
48,10,1000,250,10,95.03999999999999,98.00999999999999,0.0024586335529178317
