,perplexity,n_iter,n_samples,n_features,avg_common_neighbors10,avg_common_neighbors40,std_ratios
1,10,300,100,10,47.9,52.525,0.19043202188117403
2,10,500,100,10,50.8,54.400000000000006,0.18081691780403217
3,10,1000,100,10,53.2,56.974999999999994,0.1834615130802784
4,30,300,100,10,49.400000000000006,53.449999999999996,0.16531443513337704
5,30,500,100,10,56.50000000000001,59.875,0.17863990262911655
6,30,1000,100,10,56.699999999999996,59.875,0.1805148886036549
7,50,300,100,10,46.1,62.3,0.1546457914749929
8,50,500,100,10,53.2,62.575,0.15699464599087573
9,50,1000,100,10,53.099999999999994,62.7,0.1570095936794233
10,10,300,100,20,42.1,49.125,0.12143511000355882
11,10,500,100,20,47.099999999999994,53.0,0.11784207958414933
12,10,1000,100,20,47.199999999999996,51.974999999999994,0.12207637792766951
13,30,300,100,20,48.4,57.225,0.11635925085922602
14,30,500,100,20,50.2,55.400000000000006,0.10982135105594769
15,30,1000,100,20,50.8,57.65,0.11297971313838243
16,50,300,100,20,44.6,60.275,0.11103762997915562
17,50,500,100,20,46.8,60.525000000000006,0.11440996305106413
18,50,1000,100,20,49.400000000000006,60.075,0.11767319573805
19,10,300,100,30,38.6,48.650000000000006,0.09163424283511806
20,10,500,100,30,44.00000000000001,51.0,0.09162880421717463
21,10,1000,100,30,45.199999999999996,49.125,0.09737715001233654
22,30,300,100,30,41.0,53.525,0.08818900336958936
23,30,500,100,30,48.9,52.400000000000006,0.09323276625804995
24,30,1000,100,30,46.4,53.825,0.09379290307711163
25,50,300,100,30,39.300000000000004,57.00000000000001,0.08576680422252955
26,50,500,100,30,41.699999999999996,58.775,0.0863052203345407
27,50,1000,100,30,38.4,58.699999999999996,0.0866701544391421
28,10,300,100,40,35.199999999999996,47.0,0.07615924153908005
29,10,500,100,40,39.7,48.85,0.08019512982734124
30,10,1000,100,40,42.400000000000006,49.725,0.07987010347650704
31,30,300,100,40,40.800000000000004,53.89999999999999,0.0756891734531055
32,30,500,100,40,43.4,52.55,0.07786846010168202
33,30,1000,100,40,41.5,52.37499999999999,0.0770909964479217
34,50,300,100,40,34.599999999999994,56.85,0.07366326239814443
35,50,500,100,40,39.0,57.925000000000004,0.07226354550341581
36,50,1000,100,40,40.300000000000004,58.45,0.07264758505129632
37,10,300,100,50,35.8,47.175,0.06877044491247031
38,10,500,100,50,39.5,51.075,0.07489954266543263
39,10,1000,100,50,40.400000000000006,49.65,0.0715958231447168
40,30,300,100,50,41.0,50.7,0.07255929092565212
41,30,500,100,50,42.699999999999996,53.87500000000001,0.07242566571943793
